기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수
20213,R,전통시장,3130303,영동전통시장,1142,546,596,78,215,277,196,161,215,35,99,131,95,88,98,43,116,146,101,73,117,728,0,728
20213,R,전통시장,3130305,논현종합시장,84,38,46,7,7,13,20,6,31,3,2,4,11,4,14,4,5,9,9,2,17,47,0,47
20213,R,전통시장,3130306,강남언주로,408,199,209,19,91,110,69,49,70,6,44,60,38,23,28,13,47,50,31,26,42,274,0,274
20213,R,전통시장,3130307,도곡시장,35,20,15,8,1,4,7,7,8,6,0,2,4,3,5,2,1,2,3,4,3,12,0,12
20213,R,전통시장,3130308,청담삼익시장,6,3,3,0,0,2,1,0,3,0,0,1,0,0,2,0,0,1,1,0,1,4,0,4
20213,R,전통시장,3130309,은마종합상점가,574,289,285,136,90,44,93,135,76,64,54,20,38,72,41,72,36,24,55,63,35,171,0,171
20213,R,전통시장,3130311,새마을시장,2340,1157,1183,182,379,515,320,329,615,87,175,272,178,161,284,95,204,243,142,168,331,1367,0,1367
20213,R,전통시장,3130312,석촌시장,913,446,467,92,130,174,129,150,238,40,61,81,69,80,115,52,69,93,60,70,123,524,0,524
20213,R,전통시장,3130313,방이시장,5350,2547,2803,608,943,1116,758,762,1163,318,429,567,368,346,519,290,514,549,390,416,644,2702,0,2702
20213,R,전통시장,3130314,풍납시장,3970,1962,2008,346,473,483,585,721,1362,178,252,261,293,378,600,168,221,222,292,343,762,2071,0,2071
20213,R,전통시장,3130315,문정동 로데오거리 상점가(문정동 로데오거리),1222,617,605,121,197,180,209,213,302,64,87,104,101,113,148,57,110,76,108,100,154,687,0,687
20213,R,전통시장,3130316,마천시장,97,50,47,7,11,14,11,17,37,4,5,9,8,7,17,3,6,5,3,10,20,58,0,58
20213,R,전통시장,3130317,마천중앙시장,1061,566,495,139,86,132,152,189,363,56,49,82,86,115,178,83,37,50,66,74,185,536,0,536
20213,R,전통시장,3130318,로데오거리상점가,773,343,430,11,242,255,116,92,57,4,73,116,55,63,32,7,169,139,61,29,25,670,0,670
20213,R,전통시장,3130319,성내전통시장,1314,673,641,130,169,197,218,215,385,57,83,106,116,124,187,73,86,91,102,91,198,715,0,715
20213,R,전통시장,3130320,암사종합시장,989,508,481,85,168,197,157,144,238,38,82,105,94,74,115,47,86,92,63,70,123,556,0,556
20213,R,전통시장,3130321,장신구 특화거리 상점가,1443,722,721,239,225,312,234,195,238,116,126,154,120,88,118,123,99,158,114,107,120,664,0,664
20213,R,전통시장,3130322,고분다리전통시장,771,400,371,58,106,85,110,135,277,29,56,48,62,74,131,29,50,37,48,61,146,437,0,437
20213,R,전통시장,3130323,둔촌역전통시장,1515,782,733,152,213,221,231,273,425,93,123,122,122,134,188,59,90,99,109,139,237,718,0,718
20213,R,전통시장,3130324,길동복조리시장,1129,555,574,118,158,129,170,175,379,66,77,73,94,79,166,52,81,56,76,96,213,489,0,489
20213,R,전통시장,3130325,명일전통시장,1895,942,953,341,243,255,312,288,456,170,124,137,142,161,208,171,119,118,170,127,248,697,0,697
20213,R,전통시장,3130326,고덕 골목형상점가,1281,639,642,255,155,407,224,117,123,145,73,204,108,60,49,110,82,203,116,57,74,579,0,579
20213,R,전통시장,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",3,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,3
20213,U,관광특구,3001491,이태원 관광특구,5083,2410,2673,326,721,912,761,790,1573,173,346,497,384,376,634,153,375,415,377,414,939,3300,0,3300
20213,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,1089,403,686,17,50,107,175,233,507,7,25,56,66,90,159,10,25,51,109,143,348,494,0,494
20213,U,관광특구,3001493,동대문패션타운 관광특구,2636,1264,1372,188,611,611,360,380,486,87,250,290,185,197,255,101,361,321,175,183,231,1704,0,1704
20213,U,관광특구,3001494,종로?청계 관광특구,1795,1196,599,37,199,203,202,394,760,21,121,142,143,285,484,16,78,61,59,109,276,1475,0,1475
20213,U,관광특구,3001495,잠실 관광특구,9817,4317,5500,825,2296,2634,1332,1101,1629,429,830,1144,580,542,792,396,1466,1490,752,559,837,6271,0,6271
20213,U,관광특구,3001496,강남 마이스 관광특구,29,16,13,2,4,2,4,9,8,0,2,1,2,5,6,2,2,1,2,4,2,18,0,18
20232,A,골목상권,3110033,창신역 4번,2222,1111,1111,182,228,304,323,411,774,98,119,159,173,210,352,84,109,145,150,201,422,1077,0,1077
20232,A,골목상권,3110034,창신1동주민센터,330,192,138,1,2,6,27,60,234,0,1,2,15,35,139,1,1,4,12,25,95,308,0,308
20232,A,골목상권,3110035,동묘앞역 2번,3851,1990,1861,241,391,543,511,758,1407,138,189,284,283,403,693,103,202,259,228,355,714,2014,0,2014
20232,A,골목상권,3110036,동묘앞역 3번,162,102,60,3,10,38,22,28,61,1,4,26,16,16,39,2,6,12,6,12,22,342,0,342
20232,A,골목상권,3110037,신설동역 12번,1645,801,844,128,159,233,243,281,601,67,78,117,129,139,271,61,81,116,114,142,330,807,0,807
20232,A,골목상권,3110038,경향신문사,15,12,3,2,0,3,2,2,6,2,0,3,2,2,3,0,0,0,0,0,3,7,0,7
20232,A,골목상권,3110039,회현역 1번,92,53,39,8,10,5,13,16,40,7,2,4,11,10,19,1,8,1,2,6,21,51,0,51
20232,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),1084,503,581,73,92,141,163,157,458,32,48,73,86,77,187,41,44,68,77,80,271,482,0,482
20232,A,골목상권,3110041,남산케이블카,765,386,379,81,61,132,126,125,240,40,33,79,66,65,103,41,28,53,60,60,137,439,0,439
20232,A,골목상권,3110042,남산골공원옆,934,456,478,81,73,175,140,141,324,39,33,91,70,75,148,42,40,84,70,66,176,532,0,532
20232,A,골목상권,3110043,충무초등학교,2059,1095,964,161,339,622,262,241,434,83,144,394,143,125,206,78,195,228,119,116,228,1458,0,1458
20232,A,골목상권,3110044,관성묘,259,119,140,23,29,54,46,37,70,12,13,29,25,15,25,11,16,25,21,22,45,130,0,130
20232,A,골목상권,3110045,동대문역사문화공원역 5번,999,495,504,67,89,170,130,141,402,36,39,94,69,74,183,31,50,76,61,67,219,528,0,528
20232,A,골목상권,3110046,버티고개,4037,2045,1992,351,473,706,637,648,1222,196,256,398,335,318,542,155,217,308,302,330,680,1656,0,1656
20232,A,골목상권,3110047,다산성곽길,3006,1461,1545,249,336,410,421,532,1058,128,176,215,200,278,464,121,160,195,221,254,594,1360,0,1360
20232,A,골목상권,3110048,장충동주민센터,2658,1284,1374,257,291,498,419,425,768,133,146,247,205,203,350,124,145,251,214,222,418,1262,0,1262
20232,A,골목상권,3110049,장충단 고개,2063,964,1099,231,231,436,360,306,499,112,112,204,177,137,222,119,119,232,183,169,277,988,0,988
20232,A,골목상권,3110050,약수역 7번,850,391,459,62,93,150,117,137,291,32,49,59,53,74,124,30,44,91,64,63,167,396,0,396
20232,A,골목상권,3110051,한양공고앞 교차로,1236,641,595,88,117,178,159,231,463,41,59,101,95,120,225,47,58,77,64,111,238,710,0,710
20232,A,골목상권,3110052,장충초등학교,1915,948,967,172,226,305,259,353,600,82,109,157,143,181,276,90,117,148,116,172,324,876,0,876
20232,A,골목상권,3110053,청구역 1번,2726,1360,1366,207,340,481,374,516,808,98,172,270,203,257,360,109,168,211,171,259,448,1498,0,1498
20232,A,골목상권,3110054,청구역 3번,1969,946,1023,151,222,482,313,321,480,87,107,208,149,165,230,64,115,274,164,156,250,1121,0,1121
20232,A,골목상권,3110055,황학동벼룩시장,198,115,83,4,17,32,24,34,87,2,9,17,14,20,53,2,8,15,10,14,34,224,0,224
20232,A,골목상권,3110056,신당역 3번,5434,2688,2746,437,597,785,766,1067,1782,221,297,404,409,570,787,216,300,381,357,497,995,2699,0,2699
20232,A,골목상권,3110057,황학코아루아파트,1371,604,767,85,126,501,250,184,225,45,43,193,113,99,111,40,83,308,137,85,114,1288,0,1288
20232,A,골목상권,3110058,성심여자고등학교,4022,1936,2086,398,443,557,618,665,1341,193,225,271,310,344,593,205,218,286,308,321,748,1972,0,1972
20232,A,골목상권,3110059,새남터성지,1903,909,994,151,157,218,251,332,794,86,76,116,137,178,316,65,81,102,114,154,478,953,0,953
20232,A,골목상권,3110060,효창공원앞역 6번,3473,1661,1812,420,315,565,647,511,1015,195,164,262,323,264,453,225,151,303,324,247,562,1728,0,1728
20232,A,골목상권,3110061,효창동주민센터,3737,1818,1919,407,457,623,568,614,1068,212,240,307,291,290,478,195,217,316,277,324,590,1764,0,1764
20232,A,골목상권,3110062,한강로동땡땡거리(은행나무길),1344,724,620,71,105,164,182,195,627,41,63,107,110,123,280,30,42,57,72,72,347,734,0,734
20232,A,골목상권,3110063,효창공원앞역 5번,2463,1276,1187,215,233,381,373,389,872,115,133,217,213,206,392,100,100,164,160,183,480,1651,0,1651
20232,A,골목상권,3110064,효창공원앞역 2번,2816,1315,1501,347,367,478,490,453,681,181,173,215,232,215,299,166,194,263,258,238,382,1454,0,1454
20232,A,골목상권,3110065,남정초등학교,139,64,75,17,18,15,23,24,42,10,6,3,14,12,19,7,12,12,9,12,23,85,0,85
20232,A,골목상권,3110066,서울역 15번,3174,1634,1540,239,343,540,453,622,977,128,179,281,254,332,460,111,164,259,199,290,517,1541,0,1541
20232,A,골목상권,3110067,배문고등학교,8328,4236,4092,820,1058,1548,1266,1413,2223,427,555,845,682,700,1027,393,503,703,584,713,1196,3893,0,3893
20232,A,골목상권,3110068,남영역 1번,3001,1467,1534,246,290,569,516,432,948,126,136,279,265,231,430,120,154,290,251,201,518,2038,0,2038
20232,A,골목상권,3110069,숙대입구,4953,2159,2794,341,705,1105,804,635,1363,170,229,411,379,339,631,171,476,694,425,296,732,3446,0,3446
20232,A,골목상권,3110070,용산세무서,143,69,74,18,21,14,22,16,52,5,9,8,12,6,29,13,12,6,10,10,23,43,0,43
20232,A,골목상권,3110071,한강미주맨션아파트,452,207,245,76,57,32,59,85,143,44,30,13,17,45,58,32,27,19,42,40,85,179,0,179
20232,A,골목상권,3110072,열정도,154,91,63,5,8,20,19,25,77,1,3,14,13,16,44,4,5,6,6,9,33,97,0,97
20232,A,골목상권,3110073,삼각지역 3번,490,237,253,23,37,102,74,69,185,19,23,51,42,34,68,4,14,51,32,35,117,364,0,364
20232,A,골목상권,3110074,서울역 12번,2812,1932,880,112,180,315,326,577,1302,60,96,189,219,444,924,52,84,126,107,133,378,2493,0,2493
20232,A,골목상권,3110075,숙대입구역 1번,3426,1837,1589,248,310,575,521,590,1182,133,170,297,289,337,611,115,140,278,232,253,571,2033,0,2033
20232,A,골목상권,3110076,삼각지역 14번,32,22,10,2,0,1,6,5,18,1,0,1,4,4,12,1,0,0,2,1,6,15,0,15
20232,A,골목상권,3110077,삼광초등학교,1368,671,697,161,147,176,226,230,428,88,76,94,108,116,189,73,71,82,118,114,239,618,0,618
20232,A,골목상권,3110078,이촌동점보아파트,498,228,270,78,63,42,64,92,159,37,34,14,29,40,74,41,29,28,35,52,85,146,0,146
20232,A,골목상권,3110079,후암동주민센터,10496,5151,5345,1216,1121,1544,1849,1775,2991,622,602,796,935,867,1329,594,519,748,914,908,1662,5148,0,5148
20232,A,골목상권,3110080,해방촌예술마을,4324,2140,2184,409,463,665,684,691,1412,216,228,362,371,349,614,193,235,303,313,342,798,2097,0,2097
20232,A,골목상권,3110081,해방촌 남동측,3897,1815,2082,262,353,605,565,622,1490,125,175,285,294,292,644,137,178,320,271,330,846,1950,0,1950
20232,A,골목상권,3110082,용산구청,1040,487,553,89,65,212,168,141,365,51,34,100,87,58,157,38,31,112,81,83,208,564,0,564
20232,A,골목상권,3110083,서빙고역 1번,813,407,406,106,134,74,154,160,185,55,58,41,71,91,91,51,76,33,83,69,94,350,0,350
20232,A,골목상권,3110084,경리단길북측,4008,1823,2185,293,296,658,672,613,1476,149,153,328,313,290,590,144,143,330,359,323,886,2154,0,2154
20232,A,골목상권,3110085,경리단길남측,2556,1181,1375,274,209,412,420,411,830,132,101,207,207,185,349,142,108,205,213,226,481,1508,0,1508
20232,A,골목상권,3110086,이태원역 북측,1009,491,518,150,89,154,168,135,313,74,54,74,81,64,144,76,35,80,87,71,169,549,0,549
20232,A,골목상권,3110087,이태원엔틱가구거리,1794,768,1026,94,113,245,252,290,800,44,53,136,130,132,273,50,60,109,122,158,527,1150,0,1150
20232,A,골목상권,3110088,오산고등학교,1955,972,983,203,223,277,341,361,550,117,122,155,162,175,241,86,101,122,179,186,309,813,0,813
20232,A,골목상권,3110089,서빙고동주민센터,2587,1261,1326,222,264,299,403,440,959,112,130,168,206,217,428,110,134,131,197,223,531,1322,0,1322
20232,A,골목상권,3110090,한국폴리텍대학서울정수캠퍼스,2055,926,1129,162,192,339,323,383,656,78,96,167,143,172,270,84,96,172,180,211,386,1109,0,1109
20232,A,골목상권,3110091,리움미술관,169,85,84,13,6,38,27,19,66,8,3,23,11,7,33,5,3,15,16,12,33,82,0,82
20232,A,골목상권,3110092,NH농협은행 보광동지점,3884,1878,2006,270,428,626,579,691,1290,147,236,336,290,328,541,123,192,290,289,363,749,1848,0,1848
20232,A,골목상권,3110093,우사단길,6433,3253,3180,466,544,1169,1135,1042,2077,248,290,673,605,542,895,218,254,496,530,500,1182,3613,0,3613
20232,A,골목상권,3110094,오산중학교,372,193,179,14,45,63,46,82,122,6,29,35,28,42,53,8,16,28,18,40,69,201,0,201
20232,A,골목상권,3110095,한강진역 3번,2490,1092,1398,161,143,330,451,437,968,80,66,140,229,201,376,81,77,190,222,236,592,1717,0,1717
20232,A,골목상권,3110096,한남힐사이드아파트,1080,486,594,122,97,154,226,175,306,64,49,63,112,76,122,58,48,91,114,99,184,454,0,454
20232,A,골목상권,3110097,한남초등학교,225,104,121,31,5,55,57,21,56,18,3,25,28,5,25,13,2,30,29,16,31,131,0,131
20232,A,골목상권,3110098,서울독일학교,219,103,116,28,21,37,26,34,73,15,9,18,12,16,33,13,12,19,14,18,40,117,0,117
20232,A,골목상권,3110099,유엔빌리지길,1635,781,854,274,137,248,282,251,443,145,72,111,129,118,206,129,65,137,153,133,237,835,0,835
20232,A,골목상권,3110100,옥수동우편취급국,113,53,60,13,15,27,12,13,33,8,6,15,4,6,14,5,9,12,8,7,19,43,0,43
20232,A,골목상권,3110101,옥정중학교,693,321,372,82,49,152,156,103,151,42,19,69,78,47,66,40,30,83,78,56,85,378,0,378
20232,A,골목상권,3110102,옥수역 6번,995,479,516,114,90,179,178,134,300,64,43,83,88,67,134,50,47,96,90,67,166,455,0,455
20232,A,골목상권,3110103,옥수터널,480,231,249,46,50,81,76,78,149,28,32,41,41,36,53,18,18,40,35,42,96,215,0,215
20232,A,골목상권,3110104,신금호역 4번,3310,1604,1706,331,411,439,494,567,1068,166,204,217,255,292,470,165,207,222,239,275,598,1334,0,1334
20232,A,골목상권,3110105,금동어린이공원,2997,1488,1509,244,326,423,404,528,1072,134,185,231,195,285,458,110,141,192,209,243,614,1398,0,1398
20232,A,골목상권,3110106,금북초등학교,1081,541,540,103,125,157,140,179,377,56,76,73,75,79,182,47,49,84,65,100,195,407,0,407
20232,A,골목상권,3110107,금호사거리,269,137,132,22,22,44,42,34,105,14,8,24,23,22,46,8,14,20,19,12,59,132,0,132
20232,A,골목상권,3110108,성동구립금호도서관,3,1,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
20232,A,골목상권,3110109,금호삼성래미안아파트,503,259,244,32,59,57,74,88,193,15,35,31,44,48,86,17,24,26,30,40,107,242,0,242
20232,A,골목상권,3110110,상왕십리역 6번,2125,1045,1080,140,212,432,357,332,652,75,111,198,196,165,300,65,101,234,161,167,352,1159,0,1159
20232,A,골목상권,3110111,대현산장미원,1594,799,795,160,173,182,257,273,549,81,86,99,146,139,248,79,87,83,111,134,301,617,0,617
20232,A,골목상권,3110112,행당역 2번,2881,1365,1516,275,393,460,427,509,817,126,200,229,209,228,373,149,193,231,218,281,444,1348,0,1348
20232,A,골목상권,3110113,응봉산,1614,788,826,181,206,196,240,281,510,109,106,96,119,130,228,72,100,100,121,151,282,633,0,633
20232,A,골목상권,3110114,왕십리파출소,769,379,390,93,83,113,141,128,211,47,46,57,74,66,89,46,37,56,67,62,122,372,0,372
20232,A,골목상권,3110115,상왕십리역 3번,2074,1046,1028,162,262,431,277,381,561,90,143,209,144,201,259,72,119,222,133,180,302,1116,0,1116
20232,A,골목상권,3110116,청계천박물관,2169,1108,1061,198,279,283,275,438,696,116,148,158,136,216,334,82,131,125,139,222,362,948,0,948
20232,A,골목상권,3110117,성동구보건소,1620,819,801,135,197,269,214,288,517,70,118,128,122,145,236,65,79,141,92,143,281,795,0,795
20232,A,골목상권,3110118,왕십리역 9번,1163,614,549,81,106,206,156,203,411,41,60,125,80,108,200,40,46,81,76,95,211,694,0,694
20232,A,골목상권,3110119,마장지하차도,268,139,129,13,24,45,43,42,101,5,12,23,25,25,49,8,12,22,18,17,52,147,0,147
20232,A,골목상권,3110120,서울숲카페거리,1198,621,577,121,139,225,199,175,339,69,80,122,108,87,155,52,59,103,91,88,184,432,0,432
20232,A,골목상권,3110121,한양대역 4번,712,413,299,34,186,246,56,63,127,15,89,183,37,36,53,19,97,63,19,27,74,771,0,771
20232,A,골목상권,3110122,마장역 2번,706,359,347,100,93,114,101,117,181,51,49,57,50,58,94,49,44,57,51,59,87,365,0,365
20232,A,골목상권,3110123,마장역 3번,2880,1460,1420,219,314,426,377,478,1066,115,162,219,203,254,507,104,152,207,174,224,559,1611,0,1611
20232,A,골목상권,3110124,뚝섬역교차로,825,444,381,48,77,175,109,115,301,27,44,98,56,64,155,21,33,77,53,51,146,512,0,512
20232,A,골목상권,3110125,사근동살곶이상점가,4154,2274,1880,278,714,1018,458,525,1161,142,384,703,255,259,531,136,330,315,203,266,630,2833,0,2833
20232,A,골목상권,3110126,서울숲역 1번,543,265,278,47,67,99,77,93,160,28,34,51,41,37,74,19,33,48,36,56,86,316,0,316
20232,A,골목상권,3110127,성수1가1동주민센터,942,484,458,57,53,282,193,143,214,30,24,134,100,85,111,27,29,148,93,58,103,715,0,715
20232,A,골목상권,3110128,성원중학교,8370,4430,3940,702,1043,1194,1172,1695,2564,370,546,659,638,922,1295,332,497,535,534,773,1269,4002,0,4002
20232,A,골목상권,3110129,성원어린이공원,1687,836,851,168,148,335,342,270,424,88,75,168,180,130,195,80,73,167,162,140,229,833,0,833
20232,A,골목상권,3110130,답십리역 6번,2008,1016,992,144,233,286,289,360,696,76,106,146,164,189,335,68,127,140,125,171,361,627,0,627
20232,A,골목상권,3110131,성수동카페거리,2841,1538,1303,247,277,584,434,458,841,129,140,312,244,261,452,118,137,272,190,197,389,1526,0,1526
20232,A,골목상권,3110132,성수2가3동주민센터,1918,1011,907,129,161,375,286,308,659,68,85,189,160,170,339,61,76,186,126,138,320,1318,0,1318
20232,A,골목상권,3110133,서울교통공사,1527,819,708,132,140,209,248,319,479,63,68,113,140,185,250,69,72,96,108,134,229,977,0,977
20232,A,골목상권,3110134,성수119안전센터,6354,3316,3038,611,594,974,1021,1086,2068,314,317,512,541,589,1043,297,277,462,480,497,1025,2888,0,2888
20232,A,골목상권,3110135,성동세무서,1108,596,512,95,90,229,195,181,318,51,46,131,104,107,157,44,44,98,91,74,161,657,0,657
20232,A,골목상권,3110136,경수초등학교,2695,1404,1291,295,255,400,423,447,875,140,135,212,230,242,445,155,120,188,193,205,430,1203,0,1203
20232,A,골목상권,3110137,성수초등학교,1666,903,763,214,135,339,373,226,379,107,70,174,221,132,199,107,65,165,152,94,180,920,0,920
20232,A,골목상권,3110138,송정체육공원,3537,1903,1634,271,385,568,470,680,1163,136,218,305,262,381,601,135,167,263,208,299,562,1973,0,1973
20232,A,골목상권,3110139,자양4동주민센터,5586,2830,2756,358,523,800,823,1049,2033,155,271,415,443,568,978,203,252,385,380,481,1055,3040,0,3040
20232,A,골목상권,3110140,건대입구역 6번,5668,2843,2825,400,556,1062,865,950,1835,204,275,544,470,501,849,196,281,518,395,449,986,2848,0,2848
20232,A,골목상권,3110141,건대입구역 1번,3006,1430,1576,166,347,1072,455,335,631,82,127,504,251,170,296,84,220,568,204,165,335,2208,0,2208
20232,A,골목상권,3110142,화양사거리,5301,2606,2695,230,792,2113,735,543,888,111,314,1071,390,297,423,119,478,1042,345,246,465,4850,0,4850
20232,A,골목상권,3110143,뚝섬유원지역 1번,140,74,66,20,19,13,13,36,39,9,12,5,6,22,20,11,7,8,7,14,19,49,0,49
20232,A,골목상권,3110144,어린이대공원역 4번,2006,981,1025,71,281,664,254,239,497,32,107,333,134,152,223,39,174,331,120,87,274,1732,0,1732
20232,A,골목상권,3110145,장안초등학교,635,303,332,57,59,157,96,92,174,26,27,81,52,40,77,31,32,76,44,52,97,308,0,308
20232,A,골목상권,3110146,신자초등학교,4081,2073,2008,459,462,599,629,707,1225,217,257,324,331,349,595,242,205,275,298,358,630,1853,0,1853
20232,A,골목상권,3110147,능동우편취급국,6391,3243,3148,648,676,1432,1102,879,1654,348,350,743,599,431,772,300,326,689,503,448,882,3407,0,3407
20232,A,골목상권,3110148,어린이대공원역 3번,1427,737,690,72,213,379,186,196,381,39,113,218,95,101,171,33,100,161,91,95,210,1068,0,1068
20232,A,골목상권,3110149,세종대학교,923,410,513,72,127,264,148,129,183,37,48,112,66,63,84,35,79,152,82,66,99,598,0,598
20232,A,골목상권,3110150,중곡1동 마을마당,5846,2926,2920,514,468,1189,999,896,1780,259,262,568,533,460,844,255,206,621,466,436,936,3330,0,3330
20232,A,골목상권,3110151,자양한강도서관,4707,2315,2392,515,519,750,870,780,1273,266,276,366,441,385,581,249,243,384,429,395,692,2312,0,2312
20232,A,골목상권,3110152,중곡어린이공원,2070,1067,1003,229,215,359,322,364,581,123,108,191,171,201,273,106,107,168,151,163,308,996,0,996
20232,A,골목상권,3110153,중곡1동주민센터,2407,1168,1239,245,235,516,467,329,615,126,106,255,246,145,290,119,129,261,221,184,325,1412,0,1412
20232,A,골목상권,3110154,광진정말공원,4782,2336,2446,519,528,794,796,765,1380,294,250,394,405,384,609,225,278,400,391,381,771,2148,0,2148
20232,A,골목상권,3110155,광진구청,3905,1939,1966,342,490,728,635,666,1044,177,248,378,326,317,493,165,242,350,309,349,551,2111,0,2111
20232,A,골목상권,3110156,군자역 5번,6196,2946,3250,617,514,1552,1214,763,1536,321,260,675,632,373,685,296,254,877,582,390,851,3544,0,3544
20232,A,골목상권,3110157,자양동우체국,5967,2977,2990,780,746,930,1044,1009,1458,418,417,455,504,504,679,362,329,475,540,505,779,2602,0,2602
20232,A,골목상권,3110158,중곡3동주민센터,7012,3495,3517,687,741,1100,1088,1241,2155,359,371,573,582,614,996,328,370,527,506,627,1159,3649,0,3649
20232,A,골목상권,3110159,구의역 4번,9198,4495,4703,819,967,1742,1508,1479,2683,404,502,847,787,712,1243,415,465,895,721,767,1440,4855,0,4855
20232,A,골목상권,3110160,광진경찰서,1905,915,990,195,260,335,333,327,455,99,124,171,155,152,214,96,136,164,178,175,241,944,0,944
20232,A,골목상권,3110161,중곡역 3번,5088,2512,2576,501,589,848,754,896,1500,254,309,424,402,433,690,247,280,424,352,463,810,2469,0,2469
20232,A,골목상권,3110162,군자역 4번,4032,1934,2098,539,440,744,705,618,986,273,239,339,323,308,452,266,201,405,382,310,534,1665,0,1665
20232,A,골목상권,3110163,성자초등학교,2989,1434,1555,410,341,449,590,469,730,186,169,219,310,217,333,224,172,230,280,252,397,1278,0,1278
20232,A,골목상권,3110164,아차산역 5번,3100,1474,1626,320,283,755,607,406,729,175,140,335,308,190,326,145,143,420,299,216,403,1755,0,1755
20232,A,골목상권,3110165,국립정신건강센터,4490,2211,2279,462,577,756,682,799,1214,230,302,389,356,360,574,232,275,367,326,439,640,1913,0,1913
20232,A,골목상권,3110166,구의1동주민센터,6518,3073,3445,500,705,1479,1165,1005,1664,256,336,672,577,488,744,244,369,807,588,517,920,3508,0,3508
20232,A,골목상권,3110167,용마초등학교,6898,3400,3498,830,757,1229,1152,1140,1790,427,399,627,585,535,827,403,358,602,567,605,963,3155,0,3155
20232,A,골목상권,3110168,대원고등학교,2608,1281,1327,314,445,338,389,536,586,157,227,176,190,252,279,157,218,162,199,284,307,1104,0,1104
20232,A,골목상권,3110169,성동초등학교,2355,1188,1167,199,266,448,380,369,693,116,138,233,204,167,330,83,128,215,176,202,363,1360,0,1360
20232,A,골목상권,3110170,동대부여고,6314,3055,3259,500,628,1334,1168,968,1716,254,321,662,587,482,749,246,307,672,581,486,967,3367,0,3367
20232,A,골목상권,3110171,중곡4동주민센터,2691,1316,1375,230,339,361,351,524,886,122,180,184,186,254,390,108,159,177,165,270,496,1190,0,1190
20232,A,골목상권,3110172,광진초등학교,3768,1834,1934,437,436,554,606,644,1091,229,224,257,312,322,490,208,212,297,294,322,601,1960,0,1960
20232,A,골목상권,3110173,구남초등학교,1446,686,760,130,177,260,211,225,443,74,81,124,102,100,205,56,96,136,109,125,238,716,0,716
20232,A,골목상권,3110174,아차산역 1번,5080,2472,2608,608,551,757,820,823,1521,312,282,358,417,390,713,296,269,399,403,433,808,2047,0,2047
20232,A,골목상권,3110175,푸른동산공원,4810,2314,2496,571,515,910,887,744,1183,292,252,435,463,337,535,279,263,475,424,407,648,2478,0,2478
20232,A,골목상권,3110176,해오름공원,6416,3169,3247,616,711,1021,950,1112,2006,331,351,526,518,563,880,285,360,495,432,549,1126,2913,0,2913
20232,A,골목상권,3110177,동의초등학교,1692,842,850,196,189,187,302,274,544,99,115,88,154,146,240,97,74,99,148,128,304,661,0,661
20232,A,골목상권,3110178,장로회신학대학교,1265,595,670,146,144,202,178,199,396,68,69,98,84,101,175,78,75,104,94,98,221,559,0,559
20232,A,골목상권,3110179,광나루역 1번,788,389,399,78,105,125,125,134,221,45,56,66,59,63,100,33,49,59,66,71,121,580,0,580
20232,A,골목상권,3110180,광진정보도서관,1113,567,546,128,123,181,174,197,310,70,71,91,85,96,154,58,52,90,89,101,156,618,0,618
20232,A,골목상권,3110181,신설동역 9번,593,330,263,71,56,94,102,106,164,36,37,55,50,65,87,35,19,39,52,41,77,1033,0,1033
20232,A,골목상권,3110182,용두희망어린이공원,941,546,395,61,145,321,135,104,175,30,81,221,75,57,82,31,64,100,60,47,93,700,0,700
